name,picture,position,overall,pace,acceleration,sprintSpeed,shooting,positioning,finishing,shotPower,longShot,volleys,penalties,passing,vision,crossing,freeKickAccuracy,shortPassing,longPassing,curve,dribbling,agility,balance,reaction,ballControl,subDribbling,composure,defending,interceptions,headingAccuracy,defAwareness,standingTackle,slidingTackle,physicality,jumping,stamina,strength,aggression,cardPicture,nation,nationFlag,club,clubLogo,league,foot,age,height,weight,attWorkRate,defWorkRate,playStyle,playStyleIcon,fifaVersion,diving,handling,kicking,reflexes
Thiago Silva,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p164240.png.adapt.50w.png,CB,84,51,45,55,54,59,40,71,65,61,60,74,73,60,61,83,84,62,72,62,65,88,80,67,86,87,85,81,90,87,84,74,77,66,78,74,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/164240.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Chelsea,https://images.ctfassets.net/rs6bgs1g8dbr/35O3tttUOKlhM7jTGWLbIo/3bb0b1101ca12fb75b5abe817ed269f0/5.png,Premier League,Right,39,"183CM / 6'0""FT",79KG / 174LBS,Medium,High,ANTICIPATE,https://images.ctfassets.net/rs6bgs1g8dbr/6ZPSfKDHpmkLHV6NwOaPsd/09c28430a05363cdeb78756e89f71311/defending_tackle_vision_plus.png,Fifa24,,,,
Rúben Neves,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p224293.png.adapt.50w.png,CDM,84,60,64,56,75,62,66,86,83,82,77,86,87,80,81,88,88,85,77,68,72,81,83,74,88,76,80,53,78,79,77,73,65,79,67,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/224293.png.adapt.265w.png,Portugal,https://images.ctfassets.net/rs6bgs1g8dbr/2lrwEhKVgf1yqaNPErE17U/827ef25bd1820ad5c65b278a021e9d86/f_38.png,Al Hilal,https://images.ctfassets.net/rs6bgs1g8dbr/02bPbSDxkDY1QUaq12Pum/4f448f233b5bb601ca0f490a3273a85f/605.png,ROSHN Saudi League,Right,27,"183CM / 6'0""FT",83KG / 183LBS,Medium,High,POWER SHOT,https://images.ctfassets.net/rs6bgs1g8dbr/484Ib1DGnKLwIekNohgEAs/94073bea49a4f6c643733f27ca66689a/finishing_power_shot.png,Fifa24,,,,
Rodrigo Javier De Paul,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p212616.png.adapt.50w.png,CM,84,78,80,76,77,78,76,80,78,71,66,83,86,78,76,85,85,84,82,78,78,81,85,82,81,75,79,58,72,81,75,83,79,92,79,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/212616.png.adapt.265w.png,Argentina,https://images.ctfassets.net/rs6bgs1g8dbr/2WDsnQSFUeeDtN5E5VaRtQ/fd880af45fc99e56aac677d6bf583d77/f_52.png,Atlético de Madrid,https://images.ctfassets.net/rs6bgs1g8dbr/452jAa9UhkaM3gXX81Roqk/ec88e48a2b43d5e7a3fef6a38c96c16f/240.png,LALIGA EA SPORTS,Right,30,"180CM / 5'11""FT",70KG / 154LBS,High,Medium,FINESSE SHOT,https://images.ctfassets.net/rs6bgs1g8dbr/5N6V8NZsk3z09dtoa19lWJ/3c2cbeedcf3878257d969ffc9507b5b5/finishing_finesse_shot.png,Fifa24,,,,
Memphis Depay,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p202556.png.adapt.50w.png,CF,84,82,81,83,82,85,82,85,82,75,76,81,85,84,83,80,75,84,85,81,81,84,85,86,79,30,28,65,23,31,20,80,84,79,84,72,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/202556.png.adapt.265w.png,Holland,https://images.ctfassets.net/rs6bgs1g8dbr/4uNbG6XOZIntXSyvoqzfAN/611b3238ff441ce8440cc7643632fa0f/f_34.png,Atlético de Madrid,https://images.ctfassets.net/rs6bgs1g8dbr/452jAa9UhkaM3gXX81Roqk/ec88e48a2b43d5e7a3fef6a38c96c16f/240.png,LALIGA EA SPORTS,Right,30,"176CM / 5'9""FT",78KG / 172LBS,High,Low,TECHNICAL,https://images.ctfassets.net/rs6bgs1g8dbr/6QhFtZPXQHG2jJXLTzbznr/8b2f6c64f3aadaf32e3a2f1781d773b6/ball_control_technical_dribbler.png,Fifa24,,,,
Moussa Diaby,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p241852.png.adapt.50w.png,RM,84,95,95,95,73,79,80,73,64,67,48,75,77,76,42,80,72,71,86,92,93,76,85,87,75,42,48,28,48,35,46,59,56,82,44,67,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/241852.png.adapt.265w.png,France,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,Aston Villa,https://images.ctfassets.net/rs6bgs1g8dbr/2afdYD6ZLChosw84IZhOhk/8e31fd894257e5b7f6397e3bbc01af9a/2.png,Premier League,Left,25,"171CM / 5'7""FT",67KG / 148LBS,High,Low,QUICK STEP,https://images.ctfassets.net/rs6bgs1g8dbr/2dFFSztbQ5JLsDFekR56BR/89f3e906fdbb47f466abd34fac4583f7/physical_explosive_sprint_boost_plus.png,Fifa24,,,,
Raphinha,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p233419.png.adapt.50w.png,RW,84,91,90,91,79,83,78,83,79,72,78,78,80,80,79,78,74,81,86,88,79,84,85,87,80,53,55,74,47,54,38,73,83,86,65,76,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/233419.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,FC Barcelona,https://images.ctfassets.net/rs6bgs1g8dbr/4OJIzFZkwqt9zviE8fTl6A/e20b4e9d5e3737b4cfcee2d7e9d03ce4/241.png,LALIGA EA SPORTS,Left,27,"176CM / 5'9""FT",68KG / 150LBS,High,High,POWER SHOT,https://images.ctfassets.net/rs6bgs1g8dbr/484Ib1DGnKLwIekNohgEAs/94073bea49a4f6c643733f27ca66689a/finishing_power_shot.png,Fifa24,,,,
Luis Díaz,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p241084.png.adapt.50w.png,LW,84,91,92,91,81,82,81,84,82,74,63,75,77,76,58,76,71,77,87,88,75,83,87,89,83,34,25,62,28,38,34,74,80,84,69,70,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/241084.png.adapt.265w.png,Colombia,https://images.ctfassets.net/rs6bgs1g8dbr/4auBydvTumO3h2pNxerBnv/5a8308ed1d944149b24b5b9638d7e30d/f_56.png,Liverpool,https://images.ctfassets.net/rs6bgs1g8dbr/6jp8xRcgC9d1x3W9m5x8Nx/28a273037c4b593de110e3895be7509f/9.png,Premier League,Right,27,"180CM / 5'11""FT",73KG / 161LBS,High,Medium,TECHNICAL,https://images.ctfassets.net/rs6bgs1g8dbr/6QhFtZPXQHG2jJXLTzbznr/8b2f6c64f3aadaf32e3a2f1781d773b6/ball_control_technical_dribbler.png,Fifa24,,,,
Gabriel,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p232580.png.adapt.50w.png,CB,84,70,61,77,41,44,37,62,30,28,40,62,59,38,27,78,74,47,60,51,37,85,71,52,74,85,86,85,85,84,85,82,86,71,86,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/232580.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Arsenal,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,Premier League,Left,26,"190CM / 6'3""FT",87KG / 192LBS,Medium,High,BRUISER,https://images.ctfassets.net/rs6bgs1g8dbr/5OdozEcqzYkX4RHAg4q2s1/a09636946370ee929c106466d5b06c10/defending_bruiser.png,Fifa24,,,,
Gabriel Jesus,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p230666.png.adapt.50w.png,ST,84,83,86,81,82,88,83,84,78,79,75,75,79,74,54,81,66,76,88,92,90,88,87,88,78,40,32,78,45,30,28,77,87,82,72,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/230666.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Arsenal,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,Premier League,Right,27,"175CM / 5'9""FT",73KG / 161LBS,High,High,TECHNICAL,https://images.ctfassets.net/rs6bgs1g8dbr/6QhFtZPXQHG2jJXLTzbznr/8b2f6c64f3aadaf32e3a2f1781d773b6/ball_control_technical_dribbler.png,Fifa24,,,,
Matthias Ginter,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p207862.png.adapt.50w.png,CB,84,60,54,65,59,55,55,79,46,53,67,71,72,68,42,79,74,44,66,55,49,86,75,61,76,85,86,83,87,86,78,80,83,75,84,74,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/207862.png.adapt.265w.png,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,SC Freiburg,https://images.ctfassets.net/rs6bgs1g8dbr/2h4E8npXixdlR03E8vrgmf/fdd9a0d61d7e32bf82d2af2d20c94ac4/25.png,Bundesliga,Right,30,"189CM / 6'2""FT",86KG / 190LBS,High,Medium,LONG BALL PASS,https://images.ctfassets.net/rs6bgs1g8dbr/6cnq9K8MA36MqTTq6I76HO/5af8e33cd0e75ea39eadc0781e86bb23/passing_lob_pass_master.png,Fifa24,,,,
Serge Gnabry,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p206113.png.adapt.50w.png,RM,84,81,84,79,84,85,85,87,82,83,70,78,80,77,62,83,73,74,84,86,88,82,82,85,82,43,38,42,45,44,43,68,68,75,69,58,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/206113.png.adapt.265w.png,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,FC Bayern München,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,Bundesliga,Right,29,"176CM / 5'9""FT",77KG / 170LBS,Medium,Medium,TECHNICAL,https://images.ctfassets.net/rs6bgs1g8dbr/6QhFtZPXQHG2jJXLTzbznr/8b2f6c64f3aadaf32e3a2f1781d773b6/ball_control_technical_dribbler.png,Fifa24,,,,
Grimaldo,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p210035.png.adapt.50w.png,LWB,84,87,86,87,69,77,59,82,82,61,54,83,84,83,83,83,79,87,84,84,86,83,83,84,83,76,79,66,75,78,76,72,77,90,63,69,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/210035.png.adapt.265w.png,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Leverkusen,https://images.ctfassets.net/rs6bgs1g8dbr/6Y5WcoAsEzqF78fQfC3pM2/7d73adc1563ec13c093627439222be50/32.png,Bundesliga,Left,28,"171CM / 5'7""FT",67KG / 148LBS,High,Medium,DEAD BALL,https://images.ctfassets.net/rs6bgs1g8dbr/2aNS4h6QofFax4v7ulThvI/0109855d83dc3400d85de3c2c62be49f/finishing_fk_specialist.png,Fifa24,,,,
Bruno Guimarães,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p247851.png.adapt.50w.png,CM,84,71,69,72,74,78,72,78,77,66,65,81,86,70,62,87,85,79,84,77,83,85,85,85,87,80,84,64,80,84,79,81,76,87,78,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/247851.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Newcastle Utd,https://images.ctfassets.net/rs6bgs1g8dbr/3owxOhrktlKmPKAGZw3bxu/8878cf46de2cf24e1b4bfcfb2c4b695a/13.png,Premier League,Right,26,"182CM / 6'0""FT",74KG / 163LBS,High,High,INCISIVE PASS,https://images.ctfassets.net/rs6bgs1g8dbr/3Ojc5NCuluO18kgVKoYu3W/0eeb769eb0b80b309047e780cbcc799d/passing_pass_into_space.png,Fifa24,,,,
Achraf Hakimi,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p235212.png.adapt.50w.png,RB,84,92,91,93,75,78,75,80,73,74,64,80,78,84,74,82,73,77,80,83,78,81,82,79,80,75,78,68,75,76,76,78,83,92,72,76,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/235212.png.adapt.265w.png,Morocco,https://images.ctfassets.net/rs6bgs1g8dbr/4kTHwfowcZeRRz76jN9tVp/1fc175d30b183bea985d1d3e728a6750/f_129.png,Paris SG,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,Ligue 1 Uber Eats,Right,25,"181CM / 5'11""FT",73KG / 161LBS,High,Low,WHIPPED PASS,https://images.ctfassets.net/rs6bgs1g8dbr/5j1c9rMtVKRh0MUtE8cBrJ/b28c692dd52a407c7f63921b9f8b0cdc/passing_whipped_crosses.png,Fifa24,,,,
Fabinho,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p209499.png.adapt.50w.png,CDM,84,59,53,64,69,70,63,81,70,47,90,78,76,75,53,84,82,71,77,61,62,82,81,78,85,82,82,75,81,84,82,82,76,85,80,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/209499.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Al Ittihad,https://images.ctfassets.net/rs6bgs1g8dbr/32brl7qEWjOx60OUCK8XQl/35a4a59a1b0839d0aa4bdafa86a0a334/607.png,ROSHN Saudi League,Right,30,"188CM / 6'2""FT",78KG / 172LBS,Medium,High,POWER SHOT,https://images.ctfassets.net/rs6bgs1g8dbr/484Ib1DGnKLwIekNohgEAs/94073bea49a4f6c643733f27ca66689a/finishing_power_shot.png,Fifa24,,,,
Lucas Hernández,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p220814.png.adapt.50w.png,CB,84,76,74,78,54,62,53,62,51,46,42,70,63,78,39,77,63,59,70,69,69,84,73,65,77,84,83,82,85,85,83,78,87,69,77,90,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/220814.png.adapt.265w.png,France,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,Paris SG,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,Ligue 1 Uber Eats,Left,28,"184CM / 6'0""FT",79KG / 174LBS,Medium,Medium,SLIDE TACKLE,https://images.ctfassets.net/rs6bgs1g8dbr/XV8ckQxCJgtXMQinvkzKL/9a244ed1c790ee3288fdc9a0a9349d86/defending_slide_tackler.png,Fifa24,,,,
Pierre-Emile Højbjerg,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p213648.png.adapt.50w.png,CDM,84,55,56,54,73,69,68,85,82,64,56,78,75,68,74,84,84,70,78,62,65,85,80,79,85,81,83,65,84,85,73,82,72,87,78,88,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/213648.png.adapt.265w.png,Denmark,https://images.ctfassets.net/rs6bgs1g8dbr/W41LohXCFJWoEhvtE1Lva/4b6c673873626d7dd28de8fbfe8f7127/f_13.png,Spurs,https://images.ctfassets.net/rs6bgs1g8dbr/27jHaCYQVBBgnrYC9OtN3S/b3f0fda4deae9e5578ccf315dc653816/18.png,Premier League,Right,28,"187CM / 6'2""FT",84KG / 185LBS,High,High,INTERCEPT,https://images.ctfassets.net/rs6bgs1g8dbr/3ql4uLcLezVYXvsyuMA9OW/9871490abacdb0725d1b5d10f4866b70/defending_intercepter.png,Fifa24,,,,
Reece James,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p238074.png.adapt.50w.png,RB,84,80,78,81,72,78,69,83,69,67,62,83,82,88,76,83,78,83,82,72,88,83,82,83,84,82,79,77,82,85,80,81,89,77,84,77,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/238074.png.adapt.265w.png,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,Chelsea,https://images.ctfassets.net/rs6bgs1g8dbr/35O3tttUOKlhM7jTGWLbIo/3bb0b1101ca12fb75b5abe817ed269f0/5.png,Premier League,Right,24,"178CM / 5'10""FT",87KG / 192LBS,High,Medium,JOCKEY,https://images.ctfassets.net/rs6bgs1g8dbr/1UpdaynujixnqWQ6gEuAus/bb238f2ecc31573e651c22d0f14e9a70/defending_fast_jockey_plus.png,Fifa24,,,,
Kim Min Jae,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p237086.png.adapt.50w.png,CB,84,80,75,84,33,48,23,51,37,24,30,58,57,35,23,75,69,36,64,65,65,82,68,57,72,85,85,79,86,87,85,84,83,77,88,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/237086.png.adapt.265w.png,Korea Republic,https://images.ctfassets.net/rs6bgs1g8dbr/3IcFm1ClLrc9g38tLxzRq/b483ff34617754ee59cb514ef3094836/f_167.png,FC Bayern München,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,Bundesliga,Right,27,"190CM / 6'3""FT",86KG / 190LBS,Low,High,POWER HEADER,https://images.ctfassets.net/rs6bgs1g8dbr/5zsUhtmr76X1fgAGf4wGFZ/778178591c1f3e3418f344974444c716/finishing_power_header.png,Fifa24,,,,
Randal Kolo Muani,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p237679.png.adapt.50w.png,ST,84,91,90,91,78,85,82,81,68,80,70,73,82,64,54,80,62,70,86,84,83,83,85,88,86,38,38,79,32,33,32,67,89,74,74,36,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/237679.png.adapt.265w.png,France,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,Paris SG,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,Ligue 1 Uber Eats,Right,25,"187CM / 6'2""FT",73KG / 161LBS,High,Medium,,,Fifa24,,,,
Kalidou Koulibaly,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p201024.png.adapt.50w.png,CB,84,76,65,85,48,50,43,67,38,48,50,63,65,50,39,71,69,53,68,45,33,84,72,70,82,84,83,82,86,85,83,83,82,68,91,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/201024.png.adapt.265w.png,Senegal,https://images.ctfassets.net/rs6bgs1g8dbr/5B0z6tiJgq5DMYfouICdbA/c4105a8c37117e3261ed998769f43c0d/f_136.png,Al Hilal,https://images.ctfassets.net/rs6bgs1g8dbr/02bPbSDxkDY1QUaq12Pum/4f448f233b5bb601ca0f490a3273a85f/605.png,ROSHN Saudi League,Right,33,"186CM / 6'1""FT",93KG / 205LBS,Medium,High,,,Fifa24,,,,
Marcos Llorente,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p226161.png.adapt.50w.png,RM,84,89,87,91,78,82,79,84,77,66,65,79,81,76,63,82,80,75,80,83,68,83,80,80,79,78,81,67,79,79,74,81,84,91,77,80,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/226161.png.adapt.265w.png,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Atlético de Madrid,https://images.ctfassets.net/rs6bgs1g8dbr/452jAa9UhkaM3gXX81Roqk/ec88e48a2b43d5e7a3fef6a38c96c16f/240.png,LALIGA EA SPORTS,Right,29,"184CM / 6'0""FT",74KG / 163LBS,High,Medium,,,Fifa24,,,,
Stanislav Lobotka,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p216435.png.adapt.50w.png,CM,84,71,76,67,70,78,70,73,77,43,56,81,85,75,55,85,85,75,83,77,86,84,86,82,77,77,82,45,78,82,78,75,69,85,71,76,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/216435.png.adapt.265w.png,Slovakia,https://images.ctfassets.net/rs6bgs1g8dbr/2rtg33fAnT1KbKCUHlkb5w/07e8ba36c7e290d8b4d68e797d35c614/f_43.png,Napoli FC,https://images.ctfassets.net/rs6bgs1g8dbr/40PGLIPk7e71KQC6Sl1q7H/87a8e32ef6de16632b0bf74af3b3b833/116365.png,Serie A TIM,Right,29,"170CM / 5'7""FT",64KG / 141LBS,Medium,Medium,,,Fifa24,,,,
Romelu Lukaku,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p192505.png.adapt.50w.png,ST,84,80,72,86,84,85,86,87,75,79,89,74,75,73,66,77,70,78,77,59,52,82,78,82,82,38,27,83,30,41,30,82,93,64,95,71,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/192505.png.adapt.265w.png,Belgium,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png,Roma FC,https://images.ctfassets.net/rs6bgs1g8dbr/6fghPzAMps83NDeTwdPRkw/be386fcf63186c7a7a9733e4bda73e67/114912.png,Serie A TIM,Left,31,"191CM / 6'3""FT",94KG / 207LBS,Medium,Low,,,Fifa24,,,,
James Maddison,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p220697.png.adapt.50w.png,CAM,84,71,78,66,81,84,80,83,83,77,74,86,88,83,86,86,85,86,86,84,83,80,88,86,88,54,44,35,59,65,42,63,58,78,53,70,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/220697.png.adapt.265w.png,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,Spurs,https://images.ctfassets.net/rs6bgs1g8dbr/27jHaCYQVBBgnrYC9OtN3S/b3f0fda4deae9e5578ccf315dc653816/18.png,Premier League,Right,27,"175CM / 5'9""FT",73KG / 161LBS,High,Medium,,,Fifa24,,,,
Gabriel Martinelli,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p251566.png.adapt.50w.png,LW,84,89,91,88,78,82,83,77,73,78,62,76,79,79,68,79,65,74,86,87,81,82,84,89,79,46,39,72,44,44,43,72,82,82,63,80,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/251566.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Arsenal,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,Premier League,Right,23,"178CM / 5'10""FT",75KG / 165LBS,High,High,,,Fifa24,,,,
Lisandro Martínez,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p239301.png.adapt.50w.png,CB,84,73,77,70,59,62,52,73,64,56,55,78,76,75,55,83,83,77,79,77,82,85,81,76,87,85,85,75,86,87,84,83,85,81,80,91,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/239301.png.adapt.265w.png,Argentina,https://images.ctfassets.net/rs6bgs1g8dbr/2WDsnQSFUeeDtN5E5VaRtQ/fd880af45fc99e56aac677d6bf583d77/f_52.png,Manchester Utd,https://images.ctfassets.net/rs6bgs1g8dbr/77cZgiyhWVAujeOJxxHLkt/cfe1fcd96128e52be8a5a681c69e4be4/11.png,Premier League,Left,26,"178CM / 5'10""FT",77KG / 170LBS,Medium,High,,,Fifa24,,,,
Mikel Merino,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p225193.png.adapt.50w.png,CM,84,72,72,72,78,81,79,84,78,58,70,82,83,77,69,86,84,80,82,74,73,86,85,83,80,83,85,87,80,84,76,82,89,83,80,83,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/225193.png.adapt.265w.png,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Real Sociedad,https://images.ctfassets.net/rs6bgs1g8dbr/3kY5i6htFsfl6nLjvzqRaM/7179d55f421f6776dd54d66a985b07f8/457.png,LALIGA EA SPORTS,Left,28,"189CM / 6'2""FT",83KG / 183LBS,High,High,,,Fifa24,,,,
